"taxa"	"Pump-NICUa"	"Mattress-NICUa"	"Rail-NICUa"	"Monitor-NICUa"	"Ventilator-NICUa"	"Pump-NICUb"	"Mattress-NICUb"	"Rail-NICUb"	"Monitor-NICUb"	"Ventilator-NICUb"	"Mobiles-NICUab"	"Handle-NICUab"	"DrugStation-NICUab"
"Acholeplasma"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acidaminococcus"	0	0	0	0	0	0	2.90672325088e-05	0	0	0	0	0	0
"Acidisoma"	0	0	8.72016975264e-05	0	0	0	0	0.000145336162544	0.000203470627562	2.90672325088e-05	0	0.000697613580211	0.000145336162544
"Aciditerrimonas"	0	0	0	8.72016975264e-05	2.90672325088e-05	0	0	2.90672325088e-05	0.000116268930035	0	0	0.000290672325088	0
"Acidovorax"	0.00523210185158	0.00369153852862	0.00863296805511	0.00188937011307	0.000436008487632	0.000697613580211	0.0162776502049	0.00802255617243	0.00139522716042	0.00566811033921	8.72016975264e-05	0.0023253786007	0.00424381594628
"Acinetobacter"	0.0146208179519	0.00805162340494	0.00616225329186	0.0383687469116	0.00342993343604	0.0608958521059	0.0643548527745	0.0116850274685	0.0353457547307	0.0746446530826	0.00717960642967	0.0420021509752	0.0170043310176
"Actinoallomurus"	0	0	0	0	0	0	0	0	2.90672325088e-05	5.81344650176e-05	0	0	8.72016975264e-05
"Actinobacillus"	0	0	0	0	0	0	8.72016975264e-05	0	0.000116268930035	0	0	0	0
"Actinobaculum"	0.00162776502049	0	0	0.000813882510246	2.90672325088e-05	0.000872016975264	0	0.000116268930035	0.00319739557597	0.000377874022614	2.90672325088e-05	0.000842949742755	0.000145336162544
"Actinomadura"	0	0	0	0	2.90672325088e-05	0	5.81344650176e-05	0	0	0	0	0	0
"Actinomyces"	0.00418568148127	5.81344650176e-05	0.00095921867279	0.00220910967067	0.000552277417667	0.00412754701625	0.000639479115193	0.00072668081272	0.000784815277737	0.000581344650176	0.0119756997936	0.00880737145016	0.00220910967067
"Actinomycetospora"	0	0.000145336162544	2.90672325088e-05	8.72016975264e-05	0	0	0.000784815277737	5.81344650176e-05	0.000116268930035	5.81344650176e-05	5.81344650176e-05	0	0.00116268930035
"Actinophytocola"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Actinoplanes"	0	0	2.90672325088e-05	0	0	0	0	0	0	8.72016975264e-05	5.81344650176e-05	0	0
"Adhaeribacter"	0	0	0	2.90672325088e-05	0	0	0	2.90672325088e-05	5.81344650176e-05	0	0	0.000755748045229	2.90672325088e-05
"Advenella"	0	0	2.90672325088e-05	0	0	2.90672325088e-05	0	0.000377874022614	0	2.90672325088e-05	0	0	0
"Aequorivita"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aerococcus"	0.00023253786007	2.90672325088e-05	5.81344650176e-05	0.000668546347702	0.000319739557597	0.000203470627562	0.000203470627562	0.000610411882685	0.00209284074063	0.000901084207773	0.00456355550388	0.00107548760283	0.000813882510246
