"taxa"	"Pump-NICUa"	"Mattress-NICUa"	"Rail-NICUa"	"Monitor-NICUa"	"Ventilator-NICUa"	"Pump-NICUb"	"Mattress-NICUb"	"Rail-NICUb"	"Monitor-NICUb"	"Ventilator-NICUb"	"Mobiles-NICUab"	"Handle-NICUab"	"DrugStation-NICUab"
"Abiotrophia"	0	0	0	0.00363856882959369	0	0	0	0	0	0	0.0123908186065407	0	0
"Acidovorax"	0.00178799489144317	0	0	0	0	0	0	0	0	0	0	0	0
"Acinetobacter"	0.00434227330779055	0	0	0.0130382049727107	0.00279407655769768	0	0	0	0	0.11046511627907	0.00650010156408694	0.0836734693877551	0
"Aerococcus"	0	0	0	0	0	0	0	0	0	0	0.0101564086938858	0	0
"Aeromonas"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aggregatibacter"	0	0	0	0	0	0	0	0	0	0	0.0264066626041032	0	0.0294388224471021
"Aliterella"	0.00178799489144317	0	0	0.168587022437841	0	0	0	0	0.0299003322259136	0	0	0.0530612244897959	0
"Alloiococcus"	0	0	0	0	0	0	0	0	0	0	0	0	0.0634774609015639
"Anaerococcus"	0.021455938697318	0	0	0	0	0	0	0	0	0	0	0	0
"Aquabacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacillus"	0.594380587484036	0.688764528626776	0.637772397094431	0.183747725894482	0.127689298686784	0.0934959349593496	0.790322580645161	0.591798695246971	0.274086378737542	0.517441860465116	0.00284379443428804	0.187755102040816	0.1803127874885
"Bacteroides"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Burkholderia"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Campylobacter"	0	0	0	0	0	0	0	0	0	0	0.0012187690432663	0	0
"Capnocytophaga"	0	0	0	0	0	0	0	0	0	0	0.146658541539712	0	0
"Cardiobacterium"	0	0	0	0.00212249848392965	0	0	0	0	0	0	0.0414381474710542	0	0
"Castellaniella"	0.133844189016603	0.14636246233319	0.198062953995157	0.0839902971497878	0.0223526124615814	0.0121951219512195	0	0.127679403541473	0.0132890365448505	0.22093023255814	0	0.0224489795918367	0.0377184912603496
"Cephalothrix"	0	0	0	0.00485142510612492	0	0	0	0	0	0	0	0	0
"Cetobacterium"	0	0	0	0	0	0.0223577235772358	0	0	0.0232558139534884	0	0	0	0
"Chroococcidiopsis"	0	0	0	0.00212249848392965	0	0	0	0	0	0	0	0	0
"Chryseobacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Citrobacter"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Comamonas"	0.00485312899106003	0.00301334481274214	0.00653753026634383	0	0	0	0	0.00838769804287046	0	0	0	0	0
"Corynebacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cronbergia"	0	0	0	0.0109157064887811	0	0	0	0	0	0	0	0	0
"Culturomica"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Curvibacter"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cylindrospermum"	0	0	0	0.031534263189812	0	0	0	0	0	0	0	0.0346938775510204	0
"Deinococcus"	0	0	0	0	0	0	0	0	0.0182724252491694	0	0	0	0
"Delftia"	0.0636015325670498	0.0245372363323289	0.00508474576271186	0.244390539721043	0.00586756077116513	0.260162601626016	0	0.0205032618825722	0.506644518272425	0.116279069767442	0.0499695307739183	0.173469387755102	0.0717571297148114
"Desulfovibrio"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Diaphorobacter"	0.00766283524904215	0.00344382264313388	0.014043583535109	0.00939963614311704	0.00167644593461861	0	0	0	0.0116279069767442	0	0	0	0
"Eikenella"	0	0	0	0	0	0	0	0	0	0	0.0195003046922608	0	0
"Enterobacter"	0.00153256704980843	0	0.00823244552058111	0.00363856882959369	0.00223526124615814	0.0304878048780488	0	0	0	0	0	0	0.0174793008279669
"Enterococcus"	0.00664112388250319	0	0	0.00636749545178896	0.00335289186923722	0.0284552845528455	0	0.00745573159366263	0	0	0	0	0
"Escherichia"	0	0	0	0.00303214069132808	0.00307348421346745	0	0	0	0	0	0.00264066626041032	0	0
"Finegoldia"	0.00996168582375479	0	0	0	0	0	0	0	0	0	0	0	0.0101195952161914
