accession	name
NR_170466.1	Natrialba swarupiae
NR_165787.1	Halobellus captivus
NR_165753.1	Halorubrum glutamatedens
NR_164995.1	Halorubrum amylolyticum
NR_164967.1	Haloterrigena salifodinae
NR_164956.1	Halalkalicoccus subterraneus
NR_163622.1	Methanolobus psychrotolerans
NR_163621.1	Saccharolobus caldissimus
NR_159273.1	Halorubrum aethiopicum
NR_159208.1	Nitrosopumilus ureiphilus
NR_159207.1	Nitrosopumilus oxyclinae
NR_159206.1	Nitrosopumilus cobalaminigenes
NR_159116.1	Haloplanus salinarum
NR_158056.1	Salinirussus salinus
NR_158013.1	Natronoarchaeum persicum
NR_157619.1	Salinarchaeum chitinilyticum
NR_157618.1	Natrinema soli
NR_156962.1	Sulfodiicoccus acidiphilus
NR_156961.1	Pyrobaculum igneiluti
NR_156881.1	Haloterrigena mahii
NR_156880.1	Haloterrigena mahii
NR_156879.1	Halorubrum trueperi
NR_156864.1	Halomarina rubra
NR_156821.1	Halobaculum roseum
NR_156820.1	Halobaculum roseum
NR_156809.1	Halobium salinum
NR_156808.1	Halobium salinum
NR_156034.1	Haloprofundus marisrubri
NR_153690.1	Haloparvum alkalitolerans
NR_153689.1	Halopiger thermotolerans
NR_152660.1	Methanomicrobium antiquum
NR_152034.1	Halobium palmae
NR_152033.1	Halobium palmae
NR_151959.1	Pyrodictium delaneyi
NR_151877.1	Salinigranum salinum
NR_151876.1	Halorubrum pallidum
NR_149812.1	Haloferax namakaokahaiae
NR_149771.1	Halostella salina
NR_149770.1	Halostella salina
NR_149760.1	Halodesulfurarchaeum formicicum
NR_149276.1	Haloparvum sedimenti
NR_149275.1	Haloparvum sedimenti
NR_149200.1	Thermococcus piezophilus
NR_148758.1	Methanosarcina flavescens
NR_148751.1	Thermogladius calderae
NR_148599.1	Halosiccatus urmianus
NR_148336.1	Methanosarcina spelaei
NR_148292.1	Halorubrum laminariae
NR_148269.1	Halopenitus salinus
NR_148250.1	Halorubrum halophilum
NR_148249.1	Halorubrum halophilum
NR_148245.1	Salinirubrum litoreum
NR_147775.1	Halorubrum halodurans
NR_147715.1	Haloarchaeobius baliensis
NR_147714.1	Haloarchaeobius baliensis
NR_147710.1	Halanaeroarchaeum sulfurireducens
NR_146839.1	Halorussus salinus
NR_146679.1	Halolamina litorea
NR_146356.1	Halorhabdus rudnickae
NR_146013.1	Halorubrum rutilum
NR_146002.1	Thermofilum uzonense
NR_145880.1	Halorubrum yunnanense
NR_145669.1	Halosimplex litoreum
NR_145668.1	Halosimplex litoreum
NR_145608.1	Halobellus ramosii
NR_145607.1	Halarchaeum grantii
NR_145547.1	Halorientalis brevis
NR_145546.1	Haloarchaeobius amylolyticus
NR_144701.1	Haloferax massiliensis
NR_137355.1	Methanocalculus alkaliphilus
NR_137354.1	Methanosalsum natronophilum
NR_137353.1	Halorussus amylolyticus
NR_137352.1	Halorussus amylolyticus
NR_137238.1	Halovenus salina
NR_136789.1	Thermoproteus thermophilus
NR_136783.1	Halolamina sediminis
NR_136772.1	Halovarius luteus
NR_136762.1	Halorubrum gandharaense
NR_136474.1	Methanoculleus sediminis
NR_135896.1	Methanobacterium aggregans
NR_135870.1	Halorubrum persicum
NR_134837.2	Pyrobaculum ferrireducens
NG_046384.1	Pyrobaculum ferrireducens
NR_134839.1	Methanocaldococcus bathoardescens
NR_134838.1	Methanocaldococcus bathoardescens
NR_134835.1	Halorussus ruber
NR_134834.1	Halorussus ruber
NR_134833.1	Haloarchaeobius salinus
NR_134832.1	Haloarchaeobius salinus
NR_134763.1	Methanosarcina subterranea
NR_134762.1	Methanoculleus taiwanensis
NR_134745.1	Halovenus rubra
NR_134744.1	Halostagnicola bangensis
NR_134743.1	Halobacterium rubrum
NR_134217.1	Thermococcus paralvinellae
NR_134216.1	Thermococcus cleftensis
NR_134056.1	Halorubrum salinum
NR_134054.1	Haloplanus ruber
NR_134053.1	Haloplanus litoreus
NR_134051.1	Haloarchaeobius litoreus
NR_134050.1	Haloarchaeobius litoreus
NR_133895.1	Methanobacterium paludis
NR_133852.1	Salinigranum rubrum
NR_133782.1	Methanospirillum psychrodurum
NR_133781.1	Methanomethylovorans uponensis
NR_133780.1	Methanococcoides vulcani
NR_133779.1	Methanobacterium movilense
NR_133760.1	Halorientalis persicus
NR_133757.1	Halomicroarcula limicola
NR_133756.1	Halomicroarcula limicola
NG_044969.1	Thermogladius shockii
NR_133017.1	Thermogladius shockii
NR_133034.1	Halopiger goleimassiliensis
NR_133030.1	Halopiger djelfimassiliensis
NR_133022.1	Haloplanus salinus
NR_102765.2	Pyrobaculum neutrophilum
NR_102972.2	Caldivirga maquilingensis
NG_042069.1	Caldivirga maquilingensis
NG_042067.1	Pyrobaculum neutrophilum
NG_041958.1	Pyrobaculum aerophilum
NR_102764.2	Pyrobaculum aerophilum
NR_040935.3	Pyrobaculum oguniense
NR_126308.1	Halapricum salinum
NR_126307.1	Halapricum salinum
NR_126302.1	Halovivax limisalsi
NR_126294.1	Halolamina rubra
NR_126293.1	Halapricum salinum
NR_126292.1	Halobellus rufus
NR_125640.1	Haloferax chudinovii
NR_125630.1	Halolamina salina
NR_125627.1	Halolamina salifodinae
NR_125609.1	Halorubrum rubrum
NR_125555.1	Halobellus litoreus
NR_125486.1	Archaeoglobus lithotrophicus
NR_125474.1	Methanohalophilus levihalophilus
NR_119338.1	Thermococcus fumicolans
NR_119309.1	Halococcus salifodinae
NR_119237.1	Archaeoglobus fulgidus
NR_119234.1	Pyrolobus fumarii
NR_118873.1	Archaeoglobus fulgidus
NR_118787.1	Methanosarcina mazei
